PR_AUC_Rank,C,l1_ratio,class_weight,Mean_CV_PR_AUC,SD_CV_PR_AUC,Mean_Train_PR_AUC,Mean_CV_ROC_AUC,Mean_CV_Precision_Class_1,Mean_CV_Recall_Class_1,Mean_CV_F1_Class_1,Mean_CV_F1_Macro,Mean_CV_Accuracy,Mean_Fit_Time_Seconds,SD_Fit_Time_Seconds
11,1000.0,0.0,None,0.170535103240391,0.005479066203459027,0.20692200900676738,0.5002802827814976,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,8.36313338279724,2.8291593984679073
12,100.0,0.0,None,0.17053444078042382,0.0054820722027534565,0.20692149116393227,0.5002878384253908,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,7.07616491317749,3.352577428153937
13,100.0,1.0,balanced,0.17053367543177927,0.005328485850905162,0.20586356260805375,0.5001815773286894,0.1740061241637454,0.5340485612993652,0.2623733408662895,0.43737639149303,0.49217391304347824,6.412724447250366,5.97714380886081
14,10.0,0.0,None,0.17053331047875636,0.005466456412999082,0.2069381877672627,0.5002596425839488,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,7.12264494895935,2.5542186062842385
15,100.0,1.0,None,0.1705297979025969,0.005489138047607931,0.2069173734480883,0.5002836357156469,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,19.112656784057616,8.30729346042756
16,10.0,0.0,balanced,0.170529342817497,0.005325457871517937,0.20587627397790378,0.5001778188329778,0.17404521024832692,0.5340485612993652,0.26241448739877704,0.43744934269790753,0.49228260869565216,0.5191605567932129,0.1998634332702284
17,1000.0,0.0,balanced,0.17052812454853208,0.005330803637896756,0.20586327644157382,0.5001643695175896,0.17414244446209906,0.5346916481160854,0.2626038985850988,0.43745553081696487,0.49217391304347824,0.5171716690063477,0.19314836177154082
18,1000.0,1.0,balanced,0.17052746638738792,0.005326639721942793,0.205862608565975,0.5001681559289741,0.17414244446209906,0.5346916481160854,0.2626038985850988,0.43745553081696487,0.49217391304347824,1.412003517150879,0.5610790135191855
19,100.0,0.0,balanced,0.17052625739118246,0.005335407732032293,0.20586438717234828,0.5001639585876289,0.17410422262681396,0.5346916481160854,0.2625600560819842,0.4373758985577977,0.4920652173913044,2.198280763626099,2.2135967321566246
20,1.0,1.0,balanced,0.17047244651898769,0.005160764456342092,0.2057181036601315,0.5008324977885388,0.17425931447904802,0.5237797839887872,0.2613842445196601,0.44139255163164226,0.49978260869565216,9.624646949768067,4.031429355802864
21,10.0,1.0,None,0.17045376900322687,0.0055200606235397175,0.20695399174799384,0.5001210465725383,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,3.900855875015259,4.48064548616757
22,1.0,0.0,None,0.17044942138057545,0.005873909217725584,0.20685041133757895,0.4999977312009376,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,6.077267742156982,2.6160589863444113
23,0.1,0.0,None,0.17029485658933846,0.0035449968644153083,0.20229703614770894,0.5002425809529759,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,8.219518756866455,10.37664373317631
24,1.0,1.0,None,0.1693637839069141,0.0054527798148865155,0.2065319018628861,0.49835442630717913,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,14.04301996231079,8.660012313043053
25,0.001,1.0,None,0.16934782608695653,0.0002662488850851265,0.16934782608695653,0.5,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,0.050748014450073244,0.016081070918043897
25,0.001,1.0,balanced,0.16934782608695653,0.0002662488850851265,0.16934782608695653,0.5,0.10152173913043479,0.6,0.1736596966224752,0.2683025323967483,0.433695652173913,0.12361373901367187,0.0265090531359012
25,0.01,1.0,None,0.16934782608695653,0.0002662488850851265,0.16934782608695653,0.5,0.0,0.0,0.0,0.45374657436216337,0.8306521739130435,10.020320987701416,5.092991932157656
28,0.01,1.0,balanced,0.16820290148165457,0.001488606522921833,0.16940042560502888,0.4981675392670157,0.135766498481374,0.7525641025641026,0.22990555865767695,0.24831173383917116,0.3342391304347826,0.26178750991821287,0.14373249020980344
